tree,n_simulations,alpha_mse,alpha_rmse,alpha_mae,alpha_correlation,rho_mse,rho_rmse,rho_mae,rho_correlation
BBS12021_6,50,0.009993706942000004,0.0999685297581194,0.0660618,0.9847354518068583,0.0017784228240000006,0.04217135074905712,0.030584800000000002,0.9875235482877217
BBS12022_5,50,0.008945728600000001,0.09458186189751183,0.06642400000000002,0.9860966945598357,0.0011008384160000008,0.03317888509278154,0.025463200000000016,0.9933690455013355
BBS12023_5,50,0.028000655158,0.16733396295432676,0.11229620000000001,0.973701232248042,0.002129011348,0.046141210950732536,0.0333604,0.9839790093749963
BBS12026_18,50,0.0011694327259999995,0.03419696954409849,0.02600379999999999,0.9980601648920409,0.00035298593800000004,0.018787920001958707,0.013900999999999998,0.9974090731035961
BBS12027_13,50,0.004022916399999998,0.06342646450812152,0.04782359999999999,0.9934549482335577,0.0004646309239999999,0.021555299209243185,0.017003599999999997,0.9966122476359071
BBS12028_8,50,0.004752652707999998,0.06893948584084449,0.04696839999999998,0.9918673287040141,0.0005065932779999995,0.02250762710727187,0.01681699999999999,0.9972649617060093
BBS12029_12,50,0.006106862087999997,0.07814641442830245,0.061541999999999986,0.9895996456243822,0.001660909402000001,0.04075425624398022,0.028521800000000014,0.9883208251259998
BBS12030_6,50,0.017142143744,0.13092800977636526,0.0963596,0.9658808320758365,0.0019983569799999997,0.044702986253716874,0.034252,0.9890610399065768
BBS12031_10,50,0.006181045875999996,0.07861962780374883,0.048481599999999986,0.9920716245147553,0.00041513138800000003,0.020374773323892467,0.0152372,0.9975923142393474
BBS12032_9,50,0.006539445214000005,0.08086683630512576,0.05214180000000001,0.9904641081372151,0.00046029412199999966,0.021454466248312952,0.01662419999999999,0.9954698048557528
BBS12033_7,50,0.005506394248,0.07420508235963356,0.05124600000000001,0.9898322678559458,0.0006220928000000001,0.024941788227791528,0.019307600000000008,0.995231904846173
BBS12035_27,50,0.001724801164000001,0.041530725541459076,0.0286256,0.9975029288653224,0.0002567643079999998,0.016023866824209435,0.012752799999999993,0.9983558483865279
BBS12036_7,50,0.019446704902,0.13945144281075045,0.092215,0.9647248329003171,0.001772798182,0.04210460998513108,0.033307399999999994,0.9880554074362318
BBS12037_13,50,0.001956522917999998,0.04423260017227111,0.030962599999999996,0.9961229284562598,0.000447174374,0.021146497913366175,0.016948199999999997,0.9954070139984025
BBS12038_10,50,0.0027690439619999984,0.05262170618670586,0.036100199999999985,0.9954781005536147,0.00039737668199999967,0.019934309167864324,0.014688199999999993,0.9976183964765736
BBS12039_11,50,0.0017628670939999998,0.04198651085765522,0.03181779999999999,0.9973194938029445,0.00045948251399999994,0.02143554324014206,0.016543400000000007,0.9969465083713677
BBS12040_5,50,0.006275371035999996,0.07921723951262122,0.050616,0.9888614511728173,0.0007271130719999999,0.026965034248077637,0.021503200000000007,0.994391479018236
BBS12041_7,50,0.0023520944020000004,0.04849839587037906,0.030439400000000023,0.996335646136384,0.0003597593100000001,0.018967322162076545,0.014780600000000001,0.9973887303147193
BBS12043_34,40,0.0024842398724999994,0.04984214955737763,0.029170750000000002,0.9964894081731738,0.00024726938249999993,0.01572480150908112,0.013063749999999999,0.9981903022268237
BBS12044_11,50,0.005384743334,0.07338081039345369,0.0519286,0.9897377428330626,0.0006879343359999997,0.02622850235907494,0.02003199999999999,0.9949099410240507
BBS20001_16,50,0.007020472624000001,0.08378826065744532,0.053706,0.9883475852620093,0.000857021512,0.029274929752264138,0.022217200000000003,0.9949217606655424
BBS20002_20,50,0.002507194633999999,0.05007189465159072,0.034388999999999996,0.9959394108404667,0.00028437274400000003,0.016863355063569053,0.012578400000000007,0.9983245853160118
BBS20003_74,3,0.007599455200000003,0.08717485417251929,0.07785333333333337,0.9694589694850654,9.045416666666702e-05,0.009510739543624724,0.006109999999999995,0.9996642929035423
BBS20004_55,10,0.00458187097999999,0.06768951898189254,0.04751199999999996,0.9920632981938434,0.007855167089999998,0.08862938051233349,0.04006899999999999,0.9672667770098222
BBS20005_42,21,0.0010926164333333321,0.03305474902844268,0.02332619047619047,0.9981427673430407,0.00022727244761904777,0.015075557953822066,0.012800952380952387,0.9987898731305174
BBS20006_51,14,0.00019116367142857143,0.013826195117550288,0.01079285714285714,0.9996685956091822,0.0001774506714285714,0.013321061197538708,0.009652857142857145,0.9990972306622192
BBS20007_23,50,0.001568924146000001,0.03960964713299023,0.027577800000000006,0.9972697974168346,0.0003316902620000001,0.018212365634370512,0.014406600000000002,0.9977821134994223
BBS20008_56,7,8.423042857142878e-05,0.009177713689772021,0.007497142857142853,0.9994817353733408,3.6162557142857095e-05,0.00601353117085603,0.005009999999999987,0.9996672439337567
BBS20009_29,50,0.004455160106000001,0.06674698574467615,0.04798460000000002,0.9934398000736335,0.0005851470940000002,0.024189813847981554,0.0179446,0.9971665167841329
BBS20010_29,50,0.002005668992,0.04478469595743617,0.0306028,0.9966842158056979,0.0003784033119999998,0.019452591395492783,0.014624799999999993,0.9969449496538826
BBS20011_21,50,0.0041169839940000015,0.06416372802448438,0.044154600000000016,0.992759362062081,0.0005156585319999998,0.02270811599406696,0.016278799999999993,0.9968190140208274
BBS20012_27,50,0.0029024942820000035,0.05387480192074959,0.03534260000000002,0.9953975644385208,0.00026699270200000004,0.016339911321668794,0.012717400000000005,0.997731038177947
BBS20013_28,50,0.0016870662360000013,0.04107391186629296,0.029261600000000002,0.9971448688027131,0.0002862377140000003,0.01691856122724389,0.013514600000000009,0.9985004651312052
BBS20014_65,5,0.0002072183600000021,0.014395081104321784,0.01225600000000004,0.9998182471484918,0.0005630534,0.023728746279565636,0.020159999999999994,0.9974504784930944
BBS20015_37,29,0.0009687866862068953,0.031125338330802048,0.023372068965517207,0.9978997626335214,0.00029418762758620686,0.017151898658347035,0.011936551724137929,0.9983559528380141
